cover_id	flags	pos_x	pos_y	pos_z	look_x	look_y	look_z
cover_0000	0x0000	1166.000000	360.000000	62.000000	0.000000	0.000000	1.000000
cover_0001	0x0000	646.000000	360.000000	336.000000	-1.000000	0.000000	0.000000
cover_0002	0x0000	659.000000	360.000000	493.000000	-1.000000	0.000000	0.000000
cover_0003	0x0000	960.000000	360.000000	328.000000	1.000000	0.000000	0.000000
cover_0004	0x0000	957.000000	360.000000	491.000000	1.000000	0.000000	0.000000
cover_0005	0x0000	63.000000	360.000000	138.000000	-1.000000	0.000000	0.000000
cover_0006	0x0000	1276.000000	360.000000	114.000000	-1.000000	0.000000	0.000000
cover_0007	0x0000	1269.000000	360.000000	307.000000	-1.000000	0.000000	0.000000
cover_0008	0x0000	345.000000	360.000000	280.000000	1.000000	0.000000	0.000000
cover_0009	0x0000	356.000000	360.000000	127.000000	1.000000	0.000000	0.000000
cover_0010	0x0000	480.000000	360.000000	269.000000	0.000000	0.000000	-1.000000
cover_0011	0x0000	1154.000000	360.000000	265.000000	0.000000	0.000000	-1.000000
cover_0012	0x0000	1082.000000	360.000000	506.000000	0.000000	0.000000	-1.000000
cover_0013	0x0000	508.000000	360.000000	506.000000	0.000000	0.000000	-1.000000
cover_0014	0x0000	479.000000	360.000000	67.000000	0.000000	0.000000	1.000000
cover_0015	0x0000	508.000000	360.000000	318.000000	0.000000	0.000000	1.000000
cover_0016	0x0000	1089.000000	360.000000	293.000000	0.000000	0.000000	1.000000
cover_0017	0x0000	-1256.000000	360.000000	-173.000000	-0.515037	0.000000	0.857168
cover_0018	0x0000	-1767.000000	360.000000	-451.000000	-0.515039	0.000000	0.857167
cover_0019	0x0000	-1662.000000	360.000000	-680.000000	-0.515037	0.000000	0.857168
cover_0020	0x0000	-1864.000000	360.000000	-290.000000	0.515039	0.000000	-0.857167
cover_0021	0x0000	-1371.000000	360.000000	6.000000	0.515038	0.000000	-0.857167
cover_0022	0x0000	-1186.000000	360.000000	-164.000000	0.515038	0.000000	-0.857167
cover_0023	0x0000	-1766.000000	360.000000	-508.000000	0.515039	0.000000	-0.857167
cover_0024	0x0000	-1799.000000	360.000000	-693.000000	0.857168	0.000000	0.515038
cover_0025	0x0000	-1888.000000	360.000000	-567.000000	0.857167	0.000000	0.515038
cover_0026	0x0000	-1109.000000	360.000000	-69.000000	-0.857167	0.000000	-0.515038
cover_0027	0x0000	-1004.000000	360.000000	-230.000000	-0.857167	0.000000	-0.515038
cover_0028	0x0000	-2056.000000	360.000000	-834.000000	-0.857168	0.000000	-0.515038
cover_0029	0x0000	-1471.000000	360.000000	-71.000000	0.857167	0.000000	0.515038
cover_0030	0x0000	-1385.000000	360.000000	-209.000000	0.857167	0.000000	0.515038
cover_0031	0x0000	-1728.000000	360.000000	-223.000000	-0.857167	0.000000	-0.515038
cover_0032	0x0000	-1657.000000	360.000000	-364.000000	-0.857167	0.000000	-0.515039
cover_0033	0x0000	-1071.000000	360.000000	-331.000000	-0.515038	0.000000	0.857167
cover_0034	0x0000	-809.000000	360.000000	-141.000000	0.857167	0.000000	0.515038
cover_0035	0x0000	758.000000	49.000000	142.000000	0.000000	0.000000	1.000000
cover_0036	0x0000	458.000000	49.000000	142.000000	0.000000	0.000000	1.000000
cover_0037	0x0000	452.000000	49.000000	296.000000	0.000000	0.000000	-1.000000
cover_0038	0x0000	765.000000	49.000000	296.000000	0.000000	0.000000	-1.000000
cover_0039	0x0000	941.000000	49.000000	356.000000	0.000000	0.000000	1.000000
cover_0040	0x0000	948.000000	49.000000	509.000000	0.000000	0.000000	-1.000000
cover_0041	0x0000	249.000000	49.000000	516.000000	0.000000	0.000000	-1.000000
cover_0042	0x0000	242.000000	49.000000	362.000000	0.000000	0.000000	1.000000
