objective_id	kind	text_token	difficulty_mask	graph_node	operand_kind	target_ref	target_record_ref	pad_ref	state_ref	match_value	initial_status
objective_0000	objective	objective_text_0000	0x0e	level.objective.0000	objective						
objective_step_0001	objective_complete_flags			level.objective_step.0001	stage_flag				stage_flag_0x00010000	0	-1
objective_step_0002	objective_complete_flags			level.objective_step.0002	stage_flag				stage_flag_0x00020000	0	-1
objective_step_0003	objective_complete_flags			level.objective_step.0003	stage_flag				stage_flag_0x00040000	0	-1
objective_step_0004	objective_fail_flags			level.objective_step.0004	stage_flag				stage_flag_0x00002000	0	-1
objective_step_0005	objective_fail_flags			level.objective_step.0005	stage_flag				stage_flag_0x01000000	0	-1
objective_0006	objective	objective_text_0001	0x0f	level.objective.0006	objective						
objective_step_0007	objective_complete_flags			level.objective_step.0007	stage_flag				stage_flag_0x00080000	0	-1
objective_step_0008	objective_fail_flags			level.objective_step.0008	stage_flag				stage_flag_0x00100000	0	-1
objective_0009	objective	objective_text_0002	0x0f	level.objective.0009	objective						
objective_step_0010	objective_collect_object			level.objective_step.0010	tag_target	tag_83886080				0	-1
objective_step_0011	objective_fail_flags			level.objective_step.0011	stage_flag				stage_flag_0x00000080	0	-1
objective_0012	objective	objective_text_0003	0x0c	level.objective.0012	objective						
objective_step_0013	objective_complete_flags			level.objective_step.0013	stage_flag				stage_flag_0x00200000	0	-1
objective_0014	objective	objective_text_0004	0x0f	level.objective.0014	objective						
objective_step_0015	objective_complete_flags			level.objective_step.0015	stage_flag				stage_flag_0x00400000	0	-1
objective_step_0016	objective_fail_flags			level.objective_step.0016	stage_flag				stage_flag_0x00008000	0	-1
objective_step_0017	objective_fail_flags			level.objective_step.0017	stage_flag				stage_flag_0x00000100	0	-1
