record_id	kind	pad_ref	model_catalog_id	weapon_catalog_id	secondary_weapon_catalog_id	body_catalog_id	head_catalog_id	ailist_ref	flags	flags2	flags3
setup_0000	briefing										
setup_0001	briefing										
setup_0002	briefing										
setup_0003	briefing										
setup_0004	objective_begin										
setup_0005	objective_complete_flags										
setup_0006	objective_complete_flags										
setup_0007	objective_complete_flags										
setup_0008	objective_fail_flags										
setup_0009	objective_fail_flags										
setup_0010	objective_end										
setup_0011	objective_begin										
setup_0012	objective_complete_flags										
setup_0013	objective_fail_flags										
setup_0014	objective_end										
setup_0015	objective_begin										
setup_0016	objective_collect_object										
setup_0017	objective_fail_flags										
setup_0018	objective_end										
setup_0019	objective_begin										
setup_0020	objective_complete_flags										
setup_0021	objective_end										
setup_0022	objective_begin										
setup_0023	objective_complete_flags										
setup_0024	objective_fail_flags										
setup_0025	objective_fail_flags										
setup_0026	objective_end										
setup_0027	tag										
setup_0028	tag										
setup_0029	door	pad_0342	base:model_cidoor1_ref						0x00000400	0x20000000	0x00000000
setup_0030	door	pad_0343	base:model_cidoor1_ref						0x00000400	0x20000000	0x00000000
setup_0031	tag										
setup_0032	tag										
setup_0033	door	pad_0344	base:model_cidoor1_ref						0x00000400	0x00000000	0x00000000
setup_0034	door	pad_0345	base:model_cidoor1_ref						0x00000400	0x00000000	0x00000000
setup_0035	door	pad_0347	base:model_cidoor1_ref						0x00000400	0x00000000	0x00000000
setup_0036	door	pad_0348	base:model_cidoor1_ref						0x00000400	0x00000000	0x00000000
setup_0037	tag										
setup_0038	door	pad_0346	base:model_cidoor1_ref						0x00000400	0x00000000	0x00000000
setup_0039	tag										
setup_0040	door	pad_0349	base:model_cidoor1_ref						0x00000400	0x00000000	0x00000000
setup_0041	tag										
setup_0042	door	pad_0358	base:model_ch_shutter1						0x10000400	0x20000000	0x00000000
setup_0043	door	pad_0359	base:model_ch_shutter1						0x10000400	0x20000000	0x00000000
setup_0044	prop	pad_0530	base:model_ci_sofa						0x000005e1	0x00004100	0x00000001
