pad_id	room_ref	liftnum	flags	pos_x	pos_y	pos_z	up_x	up_y	up_z	look_x	look_y	look_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
pad_0000		0	0x00185	611.000000	35.000000	134.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0001		0	0x00185	611.000000	35.000000	-158.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0002		0	0x00185	1019.000000	35.000000	-158.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0003		0	0x00185	217.000000	35.000000	-172.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0004		0	0x00185	1377.000000	35.000000	-165.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0005		0	0x00185	233.000000	35.000000	-551.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0006		0	0x00185	627.000000	35.000000	-537.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0007		0	0x00185	1036.000000	35.000000	-537.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0008		0	0x00185	1393.000000	35.000000	-544.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0009		0	0x00185	1506.000000	35.000000	-1067.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0010		0	0x00185	1023.000000	35.000000	-1045.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0011		0	0x00185	615.000000	35.000000	-1045.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0012		0	0x00185	123.000000	35.000000	-1067.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0013		0	0x00185	104.000000	35.000000	121.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0014		0	0x00185	604.000000	35.000000	317.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0015		0	0x00185	130.000000	35.000000	338.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0016		0	0x00185	1288.000000	35.000000	341.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0017		0	0x00185	1295.000000	35.000000	594.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0018		0	0x00185	130.000000	35.000000	572.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0019		0	0x00185	1213.000000	35.000000	1520.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0020		0	0x00185	1302.000000	35.000000	1071.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0021		0	0x00185	739.000000	35.000000	1151.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0022		0	0x00185	744.000000	35.000000	1513.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0023		0	0x00185	-100.000000	35.000000	128.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0024		0	0x00185	-260.000000	35.000000	409.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0025		0	0x00185	-539.000000	35.000000	312.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0026		0	0x00185	-746.000000	35.000000	144.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0027		0	0x00185	-631.000000	35.000000	-33.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0028		1	0x01585	-393.000000	35.000000	79.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0029		1	0x01985	-317.000000	35.000000	-144.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0030		0	0x00185	-63.000000	35.000000	-1041.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0031		0	0x00185	-799.000000	35.000000	-116.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0032		0	0x00185	-1581.000000	35.000000	-560.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0033		0	0x00185	-2015.000000	35.000000	-838.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0034		0	0x00185	-1778.000000	35.000000	-999.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0035		0	0x00185	-1470.000000	35.000000	-823.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0036		0	0x00185	-1112.000000	35.000000	-626.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0037		0	0x00185	-779.000000	35.000000	-429.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0038		0	0x00185	-567.000000	35.000000	-767.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0039		0	0x00185	-900.000000	35.000000	-964.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0040		0	0x00185	-1258.000000	35.000000	-1161.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0041		0	0x00185	-1566.000000	35.000000	-1337.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0042		0	0x00185	-244.000000	35.000000	-1171.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0043		0	0x00185	-1385.000000	35.000000	-1822.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0044		0	0x00185	-1844.000000	35.000000	828.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0045		0	0x00185	-2217.000000	35.000000	-429.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0046		0	0x00185	-2635.000000	35.000000	378.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0047		0	0x00185	-1395.000000	35.000000	86.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0048		0	0x00185	-1258.000000	35.000000	-121.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0049		0	0x00185	-1698.000000	35.000000	-404.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0050		0	0x00185	-2111.000000	35.000000	-626.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
