portal_id	room_a	room_b	flags	vertices
portal_0000	room_2	room_1	0x00	-958.000000,600.000000,288.000000;-17.000000,600.000000,762.000000;-17.000000,600.000000,-203.000000;-583.000000,600.000000,-361.000000
portal_0001	room_3	room_1	0x00	-17.000000,325.000000,400.000000;-17.000000,600.000000,400.000000;-17.000000,600.000000,200.000000;-17.000000,325.000000,200.000000
portal_0002	room_5	room_1	0x00	-17.000000,-167.000000,200.000000;-17.000000,233.000000,200.000000;-17.000000,233.000000,0.000000;-17.000000,-167.000000,0.000000
portal_0003	room_5	room_3	0x00	17.000000,442.000000,-42.000000;17.000000,800.000000,-600.000000;1583.000000,800.000000,-600.000000;1583.000000,442.000000,-42.000000
portal_0004	room_4	room_3	0x00	17.000000,1033.000000,-433.000000;1583.000000,1033.000000,-433.000000;1583.000000,1333.000000,-133.000000;17.000000,1333.000000,-133.000000
portal_0005	room_6	room_5	0x00	1583.000000,-500.000000,-900.000000;17.000000,-500.000000,-900.000000;17.000000,500.000000,-900.000000;1583.000000,500.000000,-900.000000
portal_0006	room_4	room_5	0x00	17.000000,533.000000,-933.000000;1583.000000,533.000000,-933.000000;1583.000000,833.000000,-633.000000;17.000000,833.000000,-633.000000
portal_0007	room_8	room_7	0x00	1183.000000,233.000000,425.000000;1183.000000,0.000000,425.000000;1183.000000,0.000000,225.000000
portal_0008	room_8	room_7	0x00	1183.000000,233.000000,425.000000;1183.000000,0.000000,225.000000;1183.000000,233.000000,225.000000
portal_0009	room_5	room_7	0x00	500.000000,242.000000,213.000000;700.000000,242.000000,213.000000;700.000000,0.000000,213.000000;500.000000,0.000000,213.000000
portal_0010	room_9	room_8	0x00	1583.000000,0.000000,1033.000000;1583.000000,300.000000,1033.000000;1183.000000,300.000000,475.000000;1183.000000,0.000000,475.000000
portal_0011	room_10	room_9	0x00	1183.000000,0.000000,650.000000;1183.000000,233.000000,650.000000;1183.000000,233.000000,475.000000;1183.000000,0.000000,475.000000
