volume_id	pad_ref	kind	room_ref	shape	min_x	min_y	min_z	max_x	max_y	max_z
volume_pad_0000	pad_0000	pad_bounds		aabb	511.000000	-65.000000	34.000000	711.000000	135.000000	234.000000
volume_pad_0001	pad_0001	pad_bounds		aabb	511.000000	-65.000000	-258.000000	711.000000	135.000000	-58.000000
volume_pad_0002	pad_0002	pad_bounds		aabb	919.000000	-65.000000	-258.000000	1119.000000	135.000000	-58.000000
volume_pad_0003	pad_0003	pad_bounds		aabb	117.000000	-65.000000	-272.000000	317.000000	135.000000	-72.000000
volume_pad_0004	pad_0004	pad_bounds		aabb	1277.000000	-65.000000	-265.000000	1477.000000	135.000000	-65.000000
volume_pad_0005	pad_0005	pad_bounds		aabb	133.000000	-65.000000	-651.000000	333.000000	135.000000	-451.000000
volume_pad_0006	pad_0006	pad_bounds		aabb	527.000000	-65.000000	-637.000000	727.000000	135.000000	-437.000000
volume_pad_0007	pad_0007	pad_bounds		aabb	936.000000	-65.000000	-637.000000	1136.000000	135.000000	-437.000000
volume_pad_0008	pad_0008	pad_bounds		aabb	1293.000000	-65.000000	-644.000000	1493.000000	135.000000	-444.000000
volume_pad_0009	pad_0009	pad_bounds		aabb	1406.000000	-65.000000	-1167.000000	1606.000000	135.000000	-967.000000
volume_pad_0010	pad_0010	pad_bounds		aabb	923.000000	-65.000000	-1145.000000	1123.000000	135.000000	-945.000000
volume_pad_0011	pad_0011	pad_bounds		aabb	515.000000	-65.000000	-1145.000000	715.000000	135.000000	-945.000000
volume_pad_0012	pad_0012	pad_bounds		aabb	23.000000	-65.000000	-1167.000000	223.000000	135.000000	-967.000000
volume_pad_0013	pad_0013	pad_bounds		aabb	4.000000	-65.000000	21.000000	204.000000	135.000000	221.000000
volume_pad_0014	pad_0014	pad_bounds		aabb	504.000000	-65.000000	217.000000	704.000000	135.000000	417.000000
volume_pad_0015	pad_0015	pad_bounds		aabb	30.000000	-65.000000	238.000000	230.000000	135.000000	438.000000
volume_pad_0016	pad_0016	pad_bounds		aabb	1188.000000	-65.000000	241.000000	1388.000000	135.000000	441.000000
volume_pad_0017	pad_0017	pad_bounds		aabb	1195.000000	-65.000000	494.000000	1395.000000	135.000000	694.000000
volume_pad_0018	pad_0018	pad_bounds		aabb	30.000000	-65.000000	472.000000	230.000000	135.000000	672.000000
volume_pad_0019	pad_0019	pad_bounds		aabb	1113.000000	-65.000000	1420.000000	1313.000000	135.000000	1620.000000
volume_pad_0020	pad_0020	pad_bounds		aabb	1202.000000	-65.000000	971.000000	1402.000000	135.000000	1171.000000
volume_pad_0021	pad_0021	pad_bounds		aabb	639.000000	-65.000000	1051.000000	839.000000	135.000000	1251.000000
volume_pad_0022	pad_0022	pad_bounds		aabb	644.000000	-65.000000	1413.000000	844.000000	135.000000	1613.000000
volume_pad_0023	pad_0023	pad_bounds		aabb	-200.000000	-65.000000	28.000000	0.000000	135.000000	228.000000
