cover_id	flags	pos_x	pos_y	pos_z	look_x	look_y	look_z
cover_0000	0x0000	-880.000000	77.000000	664.000000	1.000000	0.000000	0.000000
cover_0001	0x0000	-728.000000	77.000000	526.000000	0.000000	0.000000	1.000000
cover_0002	0x0000	1010.000000	77.000000	84.000000	0.000000	0.000000	-1.000000
cover_0003	0x0000	1174.000000	77.000000	-189.000000	-1.000000	0.000000	0.000000
cover_0004	0x0000	1669.000000	77.000000	-991.000000	0.000000	0.000000	-1.000000
cover_0005	0x0000	1568.000000	77.000000	-1135.000000	1.000000	0.000000	0.000000
cover_0006	0x0000	1696.000000	77.000000	-876.000000	0.000000	0.000000	1.000000
cover_0007	0x0000	1544.000000	77.000000	-739.000000	1.000000	0.000000	0.000000
cover_0008	0x0000	-1067.000000	77.000000	-80.000000	1.000000	0.000000	0.000000
cover_0009	0x0000	-883.000000	77.000000	-92.000000	-1.000000	0.000000	0.000000
cover_0010	0x0000	-1393.000000	77.000000	208.000000	1.000000	0.000000	0.000000
cover_0011	0x0000	155.000000	77.000000	645.000000	-1.000000	0.000000	0.000000
cover_0012	0x0000	345.000000	77.000000	651.000000	1.000000	0.000000	0.000000
cover_0013	0x0000	-1372.000000	77.000000	9.000000	0.000000	0.000000	-1.000000
cover_0014	0x0000	-1372.000000	77.000000	-9.000000	0.000000	0.000000	1.000000
cover_0015	0x0000	1378.000000	77.000000	542.000000	0.000000	0.000000	1.000000
cover_0016	0x0000	1555.000000	77.000000	720.000000	-1.000000	0.000000	0.000000
cover_0017	0x0000	1706.000000	77.000000	859.000000	0.000000	0.000000	-1.000000
cover_0018	0x0000	1568.000000	77.000000	708.000000	1.000000	0.000000	0.000000
cover_0019	0x0000	1935.000000	77.000000	1205.000000	1.000000	0.000000	0.000000
cover_0020	0x0000	1943.000000	77.000000	855.000000	0.000000	0.000000	-1.000000
cover_0021	0x0000	2107.000000	77.000000	725.000000	-1.000000	0.000000	0.000000
cover_0022	0x0000	1537.000000	77.000000	1206.000000	-1.000000	0.000000	0.000000
cover_0023	0x0000	1526.000000	77.000000	938.000000	-1.000000	0.000000	0.000000
cover_0024	0x0000	1412.000000	77.000000	1081.000000	0.000000	0.000000	-1.000000
cover_0025	0x0000	827.000000	77.000000	1218.000000	1.000000	0.000000	0.000000
cover_0026	0x0000	959.000000	77.000000	1094.000000	0.000000	0.000000	1.000000
cover_0027	0x0000	103.000000	77.000000	1568.000000	0.000000	0.000000	-1.000000
cover_0028	0x0000	262.000000	77.000000	1385.000000	-1.000000	0.000000	0.000000
cover_0029	0x0000	-760.000000	77.000000	1551.000000	0.000000	0.000000	-1.000000
cover_0030	0x0000	-743.000000	77.000000	1514.000000	0.000000	0.000000	1.000000
cover_0031	0x0000	-869.000000	77.000000	1704.000000	1.000000	0.000000	0.000000
cover_0032	0x0000	-869.000000	77.000000	1408.000000	1.000000	0.000000	0.000000
cover_0033	0x0000	-760.000000	77.000000	1352.000000	0.000000	0.000000	1.000000
cover_0034	0x0000	-749.000000	77.000000	1086.000000	0.000000	0.000000	-1.000000
cover_0035	0x0000	-721.000000	77.000000	2063.000000	0.000000	0.000000	-1.000000
cover_0036	0x0000	2099.000000	77.000000	-1090.000000	-1.000000	0.000000	0.000000
cover_0037	0x0000	2087.000000	77.000000	-745.000000	-1.000000	0.000000	0.000000
cover_0038	0x0000	1953.000000	77.000000	-871.000000	0.000000	0.000000	1.000000
cover_0039	0x0000	1960.000000	77.000000	-982.000000	0.000000	0.000000	-1.000000
cover_0040	0x0000	2754.000000	77.000000	-1159.000000	1.000000	0.000000	0.000000
cover_0041	0x0000	2767.000000	77.000000	-1554.000000	1.000000	0.000000	0.000000
cover_0042	0x0000	2875.000000	77.000000	-1316.000000	0.000000	0.000000	1.000000
cover_0043	0x0000	-141.000000	77.000000	2373.000000	0.000000	0.000000	-1.000000
cover_0044	0x0000	383.000000	77.000000	3399.000000	0.000000	0.000000	-1.000000
cover_0045	0x0000	693.000000	77.000000	3432.000000	0.000000	0.000000	-1.000000
cover_0046	0x0000	458.000000	77.000000	2740.000000	-1.000000	0.000000	0.000000
cover_0047	0x0000	566.000000	77.000000	3271.000000	1.000000	0.000000	0.000000
cover_0048	0x0000	377.000000	77.000000	3193.000000	0.000000	0.000000	1.000000
cover_0049	0x0000	270.000000	77.000000	2590.000000	0.000000	0.000000	1.000000
cover_0050	0x0000	-344.000000	77.000000	1902.000000	0.000000	0.000000	1.000000
cover_0051	0x0000	-246.000000	77.000000	2015.000000	-1.000000	0.000000	0.000000
cover_0052	0x0000	-239.000000	77.000000	2235.000000	1.000000	0.000000	0.000000
cover_0053	0x0000	1576.000000	77.000000	-1225.000000	-1.000000	0.000000	0.000000
cover_0054	0x0000	1470.000000	77.000000	-1369.000000	0.000000	0.000000	1.000000
cover_0055	0x0000	1470.000000	77.000000	-1080.000000	0.000000	0.000000	-1.000000
cover_0056	0x0000	1367.000000	77.000000	-1226.000000	1.000000	0.000000	0.000000
cover_0057	0x0000	695.000000	77.000000	1505.000000	-1.000000	0.000000	0.000000
cover_0058	0x0000	565.000000	77.000000	1066.000000	-0.707107	0.000000	0.707107
cover_0059	0x0000	421.000000	77.000000	1148.000000	-0.500000	0.000000	0.866025
cover_0060	0x0000	292.000000	77.000000	1249.000000	0.965926	0.000000	-0.258819
cover_0061	0x0000	417.000000	77.000000	1150.000000	0.965926	0.000000	-0.258819
cover_0062	0x0000	448.000000	77.000000	1069.000000	0.707107	0.000000	0.707107
cover_0063	0x0000	420.000000	77.000000	1298.000000	-0.499999	0.000000	-0.866026
cover_0064	0x0000	329.000000	77.000000	1149.000000	0.499999	0.000000	0.866026
cover_0065	0x0000	559.000000	77.000000	1186.000000	-0.707107	0.000000	-0.707107
cover_0066	0x0000	526.000000	77.000000	1498.000000	1.000000	0.000000	0.000000
cover_0067	0x0000	607.000000	77.000000	1586.000000	0.000000	0.000000	-1.000000
cover_0068	0x0000	381.000000	77.000000	2635.000000	0.000000	0.000000	1.000000
cover_0069	0x0000	377.000000	77.000000	2806.000000	0.000000	0.000000	-1.000000
cover_0070	0x0000	429.000000	77.000000	2436.000000	0.000000	0.000000	-1.000000
cover_0071	0x0000	508.000000	77.000000	2344.000000	-1.000000	0.000000	0.000000
cover_0072	0x0000	2148.000000	77.000000	-751.000000	1.000000	0.000000	0.000000
cover_0073	0x0000	2425.000000	77.000000	-750.000000	-1.000000	0.000000	0.000000
cover_0074	0x0000	1451.000000	77.000000	619.000000	-1.000000	0.000000	0.000000
cover_0075	0x0000	1293.000000	77.000000	621.000000	1.000000	0.000000	0.000000
cover_0076	0x0000	829.000000	77.000000	-905.000000	1.000000	0.000000	0.000000
cover_0077	0x0000	1055.000000	77.000000	-906.000000	-1.000000	0.000000	0.000000
cover_0078	0x0000	-706.000000	77.000000	-194.000000	0.000000	0.000000	-1.000000
cover_0079	0x0000	-706.000000	77.000000	-430.000000	0.000000	0.000000	1.000000
cover_0080	0x0000	297.000000	77.000000	780.000000	-1.000000	0.000000	0.000000
cover_0081	0x0000	142.000000	77.000000	782.000000	1.000000	0.000000	0.000000
cover_0082	0x0000	219.000000	77.000000	707.000000	0.000000	0.000000	1.000000
cover_0083	0x0000	220.000000	77.000000	860.000000	0.000000	0.000000	-1.000000
cover_0084	0x0000	887.000000	77.000000	-164.000000	0.000000	0.000000	-1.000000
cover_0085	0x0000	966.000000	77.000000	-242.000000	-1.000000	0.000000	0.000000
cover_0086	0x0000	890.000000	77.000000	-314.000000	0.000000	0.000000	1.000000
