waygroup_id	step	waypoints	neighbours
waygroup_0000	0	waypoint_0000;waypoint_0001;waypoint_0002	waygroup_0020
waygroup_0001	0	waypoint_0003;waypoint_0004	waygroup_0020
waygroup_0002	0	waypoint_0005;waypoint_0006;waypoint_0007;waypoint_0008	waygroup_0012
waygroup_0003	0	waypoint_0009;waypoint_0010;waypoint_0011	waygroup_0005
waygroup_0004	0	waypoint_0012;waypoint_0013;waypoint_0014;waypoint_0015;waypoint_0016;waypoint_0017	waygroup_0009;waygroup_0005
waygroup_0005	0	waypoint_0018;waypoint_0019;waypoint_0020;waypoint_0021;waypoint_0022;waypoint_0023	waygroup_0003;waygroup_0006;waygroup_0013;waygroup_0004
waygroup_0006	0	waypoint_0024;waypoint_0025;waypoint_0026;waypoint_0027	waygroup_0005
waygroup_0007	0	waypoint_0028;waypoint_0029;waypoint_0030;waypoint_0031;waypoint_0032;waypoint_0033;waypoint_0034;waypoint_0035;waypoint_0036;waypoint_0037;waypoint_0038	waygroup_0008;waygroup_0015;waygroup_0012;waygroup_0014
waygroup_0008	0	waypoint_0039;waypoint_0040;waypoint_0041;waypoint_0042;waypoint_0043	waygroup_0009;waygroup_0007;waygroup_0017
waygroup_0009	0	waypoint_0044;waypoint_0045;waypoint_0046;waypoint_0047;waypoint_0048;waypoint_0049	waygroup_0010;waygroup_0008;waygroup_0004;waygroup_0018;waygroup_0020
waygroup_0010	0	waypoint_0050;waypoint_0051;waypoint_0052;waypoint_0053;waypoint_0054;waypoint_0055;waypoint_0056;waypoint_0057;waypoint_0058;waypoint_0059;waypoint_0060;waypoint_0061;waypoint_0062;waypoint_0063;waypoint_0064	waygroup_0016;waygroup_0011;waygroup_0009
waygroup_0011	0	waypoint_0065;waypoint_0066;waypoint_0067	waygroup_0015;waygroup_0010
waygroup_0012	0	waypoint_0068	waygroup_0002;waygroup_0007
waygroup_0013	0	waypoint_0069;waypoint_0070	waygroup_0005
waygroup_0014	0	waypoint_0071;waypoint_0072;waypoint_0073;waypoint_0074;waypoint_0075;waypoint_0076;waypoint_0077	waygroup_0007
waygroup_0015	0	waypoint_0078;waypoint_0079;waypoint_0080;waypoint_0081;waypoint_0082;waypoint_0083;waypoint_0084;waypoint_0085;waypoint_0086;waypoint_0087;waypoint_0088;waypoint_0089;waypoint_0090	waygroup_0007;waygroup_0011
waygroup_0016	0	waypoint_0091;waypoint_0092;waypoint_0093;waypoint_0094;waypoint_0095;waypoint_0096;waypoint_0097;waypoint_0098;waypoint_0099;waypoint_0100;waypoint_0101	waygroup_0010
waygroup_0017	0	waypoint_0102	waygroup_0008
waygroup_0018	0	waypoint_0103;waypoint_0104;waypoint_0105;waypoint_0106;waypoint_0107;waypoint_0108;waypoint_0109;waypoint_0110;waypoint_0111	waygroup_0009;waygroup_0019
waygroup_0019	0	waypoint_0112;waypoint_0113	waygroup_0018;waygroup_0020
waygroup_0020	0	waypoint_0114;waypoint_0115;waypoint_0116;waypoint_0117;waypoint_0118;waypoint_0119;waypoint_0120;waypoint_0121;waypoint_0122;waypoint_0123;waypoint_0124;waypoint_0125;waypoint_0126;waypoint_0127;waypoint_0128;waypoint_0129;waypoint_0130;waypoint_0131;waypoint_0132;waypoint_0133;waypoint_0134;waypoint_0135;waypoint_0136;waypoint_0137;waypoint_0138;waypoint_0139;waypoint_0140;waypoint_0141;waypoint_0142;waypoint_0143;waypoint_0144;waypoint_0145;waypoint_0146;waypoint_0147;waypoint_0148;waypoint_0149;waypoint_0150;waypoint_0151;waypoint_0152	waygroup_0009;waygroup_0001;waygroup_0000;waygroup_0019
