pad_id	room_ref	liftnum	flags	pos_x	pos_y	pos_z	up_x	up_y	up_z	look_x	look_y	look_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
pad_0000		0	0x00185	251.000000	-634.000000	252.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0001		0	0x00185	526.000000	-634.000000	249.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0002		0	0x00185	498.000000	-634.000000	-437.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0003		0	0x00185	-886.000000	-634.000000	255.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0004		0	0x00185	-480.000000	-634.000000	258.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0005		0	0x01185	894.000000	-165.000000	-599.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0006		0	0x00185	-70.000000	-165.000000	-586.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0007		0	0x00185	1184.000000	-165.000000	-588.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0008		0	0x00185	1463.000000	-165.000000	-583.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0009		0	0x00185	-389.000000	-165.000000	-584.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0010		0	0x00185	-1385.000000	-165.000000	-591.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0011		0	0x00185	-1574.000000	-165.000000	-591.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0012		0	0x00185	-1376.000000	77.000000	31.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0013		0	0x00185	-1498.000000	77.000000	27.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0014		0	0x01185	-1491.000000	77.000000	-394.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0015		0	0x01185	-1495.000000	77.000000	466.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0016		0	0x01185	-1554.000000	77.000000	627.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0017		0	0x00185	-1550.000000	77.000000	1567.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0018		0	0x00185	-1857.000000	-165.000000	-596.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0019		0	0x00185	-1851.000000	-165.000000	163.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0020		0	0x00185	-1852.000000	-165.000000	1796.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0021		0	0x00185	-1854.000000	-165.000000	16.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0022		0	0x01185	-1857.000000	-165.000000	-741.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0023		0	0x01185	-1857.000000	-165.000000	-394.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0024		0	0x00185	-1447.000000	-165.000000	162.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0025		0	0x00185	-1608.000000	-165.000000	164.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0026		0	0x00185	-1254.000000	-165.000000	164.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0027		0	0x00185	56.000000	-165.000000	160.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0028		0	0x00185	1370.000000	77.000000	292.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0029		0	0x00185	1561.000000	77.000000	605.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0030		0	0x00185	1364.000000	77.000000	-212.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0031		0	0x01185	1183.000000	77.000000	-750.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0032		0	0x00185	1465.000000	77.000000	-938.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0033		0	0x00185	1200.000000	77.000000	-942.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0034		0	0x00185	1195.000000	77.000000	-1234.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0035		0	0x00185	920.000000	77.000000	-1004.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0036		0	0x00185	918.000000	77.000000	-1239.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0037		0	0x00185	1298.000000	77.000000	-1398.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0038		0	0x00185	1534.000000	77.000000	-1394.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0039		0	0x01185	-1.000000	77.000000	12.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0040		0	0x00185	16.000000	77.000000	519.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
pad_0041		0	0x00185	360.000000	77.000000	287.000000	0.000000	1.000000	0.000000	0.000000	0.000000	-1.000000	-100.000000	100.000000	-100.000000	100.000000	-100.000000	100.000000
