record_id	kind	field	type	value	catalog_id	ref_record_id
setup_0000	briefing	command.order	s32	0		
setup_0000	briefing	briefing.kind	s32	0		
setup_0000	briefing	briefing.text_token	u32_hex	0x00003201		
setup_0001	briefing	command.order	s32	1		
setup_0001	briefing	briefing.kind	s32	1		
setup_0001	briefing	briefing.text_token	u32_hex	0x00003200		
setup_0002	briefing	command.order	s32	2		
setup_0002	briefing	briefing.kind	s32	2		
setup_0002	briefing	briefing.text_token	u32_hex	0x00003202		
setup_0003	briefing	command.order	s32	3		
setup_0003	briefing	briefing.kind	s32	3		
setup_0003	briefing	briefing.text_token	u32_hex	0x00003203		
setup_0004	objective_begin	command.order	s32	4		
setup_0004	objective_begin	objective.index	s32	0		
setup_0004	objective_begin	objective.text_token	u32_hex	0x00003209		
setup_0004	objective_begin	objective.flags	s32	0		
setup_0004	objective_begin	objective.difficulty_mask	u32_hex	0x0000000f		
setup_0005	objective_collect_object	command.order	s32	5		
setup_0005	objective_collect_object	objective_step.target_tag	tag_ref	tag_100663296		
setup_0006	objective_collect_object	command.order	s32	6		
setup_0006	objective_collect_object	objective_step.target_tag	tag_ref	tag_117440512		
setup_0007	objective_end	command.order	s32	7		
setup_0008	objective_begin	command.order	s32	8		
setup_0008	objective_begin	objective.index	s32	1		
setup_0008	objective_begin	objective.text_token	u32_hex	0x0000320a		
setup_0008	objective_begin	objective.flags	s32	0		
setup_0008	objective_begin	objective.difficulty_mask	u32_hex	0x0000000c		
setup_0009	objective_complete_flags	command.order	s32	9		
setup_0009	objective_complete_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00100000		
setup_0010	objective_fail_flags	command.order	s32	10		
setup_0010	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00200000		
setup_0011	objective_fail_flags	command.order	s32	11		
setup_0011	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00400000		
setup_0012	objective_fail_flags	command.order	s32	12		
setup_0012	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00000004		
setup_0013	objective_fail_flags	command.order	s32	13		
setup_0013	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x08000000		
setup_0014	objective_end	command.order	s32	14		
setup_0015	objective_begin	command.order	s32	15		
setup_0015	objective_begin	objective.index	s32	2		
setup_0015	objective_begin	objective.text_token	u32_hex	0x0000320b		
setup_0015	objective_begin	objective.flags	s32	0		
setup_0015	objective_begin	objective.difficulty_mask	u32_hex	0x0000000e		
setup_0016	objective_complete_flags	command.order	s32	16		
setup_0016	objective_complete_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00020000		
setup_0017	objective_fail_flags	command.order	s32	17		
setup_0017	objective_fail_flags	objective_step.stage_flag	stage_flag_ref	stage_flag_0x00040000		
setup_0018	objective_end	command.order	s32	18		
setup_0019	objective_begin	command.order	s32	19		
setup_0019	objective_begin	objective.index	s32	3		
setup_0019	objective_begin	objective.text_token	u32_hex	0x0000320d		
setup_0019	objective_begin	objective.flags	s32	0		
setup_0019	objective_begin	objective.difficulty_mask	u32_hex	0x0000000f		
setup_0020	objective_complete_flags	command.order	s32	20		
