volume_id	pad_ref	kind	room_ref	shape	min_x	min_y	min_z	max_x	max_y	max_z
volume_pad_0000	pad_0000	pad_bounds		aabb	151.000000	-734.000000	152.000000	351.000000	-534.000000	352.000000
volume_pad_0001	pad_0001	pad_bounds		aabb	426.000000	-734.000000	149.000000	626.000000	-534.000000	349.000000
volume_pad_0002	pad_0002	pad_bounds		aabb	398.000000	-734.000000	-537.000000	598.000000	-534.000000	-337.000000
volume_pad_0003	pad_0003	pad_bounds		aabb	-986.000000	-734.000000	155.000000	-786.000000	-534.000000	355.000000
volume_pad_0004	pad_0004	pad_bounds		aabb	-580.000000	-734.000000	158.000000	-380.000000	-534.000000	358.000000
volume_pad_0005	pad_0005	pad_bounds		aabb	794.000000	-265.000000	-699.000000	994.000000	-65.000000	-499.000000
volume_pad_0006	pad_0006	pad_bounds		aabb	-170.000000	-265.000000	-686.000000	30.000000	-65.000000	-486.000000
volume_pad_0007	pad_0007	pad_bounds		aabb	1084.000000	-265.000000	-688.000000	1284.000000	-65.000000	-488.000000
volume_pad_0008	pad_0008	pad_bounds		aabb	1363.000000	-265.000000	-683.000000	1563.000000	-65.000000	-483.000000
volume_pad_0009	pad_0009	pad_bounds		aabb	-489.000000	-265.000000	-684.000000	-289.000000	-65.000000	-484.000000
volume_pad_0010	pad_0010	pad_bounds		aabb	-1485.000000	-265.000000	-691.000000	-1285.000000	-65.000000	-491.000000
volume_pad_0011	pad_0011	pad_bounds		aabb	-1674.000000	-265.000000	-691.000000	-1474.000000	-65.000000	-491.000000
volume_pad_0012	pad_0012	pad_bounds		aabb	-1476.000000	-23.000000	-69.000000	-1276.000000	177.000000	131.000000
volume_pad_0013	pad_0013	pad_bounds		aabb	-1598.000000	-23.000000	-73.000000	-1398.000000	177.000000	127.000000
volume_pad_0014	pad_0014	pad_bounds		aabb	-1591.000000	-23.000000	-494.000000	-1391.000000	177.000000	-294.000000
volume_pad_0015	pad_0015	pad_bounds		aabb	-1595.000000	-23.000000	366.000000	-1395.000000	177.000000	566.000000
volume_pad_0016	pad_0016	pad_bounds		aabb	-1654.000000	-23.000000	527.000000	-1454.000000	177.000000	727.000000
