record_id	kind	pad_ref	model_catalog_id	weapon_catalog_id	secondary_weapon_catalog_id	body_catalog_id	head_catalog_id	ailist_ref	flags	flags2	flags3
setup_0000	briefing										
setup_0001	briefing										
setup_0002	briefing										
setup_0003	briefing										
setup_0004	objective_begin										
setup_0005	objective_collect_object										
setup_0006	objective_collect_object										
setup_0007	objective_end										
setup_0008	objective_begin										
setup_0009	objective_complete_flags										
setup_0010	objective_fail_flags										
setup_0011	objective_fail_flags										
setup_0012	objective_fail_flags										
setup_0013	objective_fail_flags										
setup_0014	objective_end										
setup_0015	objective_begin										
setup_0016	objective_complete_flags										
setup_0017	objective_fail_flags										
setup_0018	objective_end										
setup_0019	objective_begin										
setup_0020	objective_complete_flags										
setup_0021	objective_fail_flags										
setup_0022	objective_fail_flags										
setup_0023	objective_end										
setup_0024	objective_begin										
setup_0025	objective_complete_flags										
setup_0026	objective_fail_flags										
setup_0027	objective_fail_flags										
setup_0028	objective_end										
setup_0029	character_spawn	pad_0169				base:ciaguy		ailist_1049	0x80004000	0x00000000	
setup_0030	character_spawn	pad_0170				base:g5_guard		ailist_1044	0xa0004408	0x00000000	
setup_0031	weapon_pickup	pad_0000	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0032	character_spawn	pad_0171				base:fbiguy		ailist_1041	0x8000a000	0x00000000	
setup_0033	character_spawn	pad_0172				base:g5_guard		ailist_1045	0xa0004408	0x00000000	
setup_0034	weapon_pickup	pad_0001	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0035	character_spawn	pad_0175				base:fbiguy		ailist_1041	0x8000e008	0x00000000	
setup_0036	character_spawn	pad_0173				base:g5_guard		ailist_1046	0xa0004008	0x00000000	
setup_0037	weapon_pickup	pad_0002	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
setup_0038	character_spawn	pad_0174				base:g5_guard		ailist_1038	0xc0004008	0x00000000	
setup_0039	weapon_pickup	pad_0003	base:model_chrcmp150	base:cmp150					0x00004000	0x00000000	0x00000000
