dialogdef,registration_files,registration_count,reachability,entry_exit,focus_order,actions,scrolling,text_numeric_edit,glyphs,save_failure,controller_runtime,mkb_runtime
"g_2PMissionEndscreenCompletedHMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","candidate excluded pending retired/debug reachability check","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_2PMissionEndscreenCompletedVMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","candidate excluded pending retired/debug reachability check","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_2PMissionEndscreenFailedHMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","candidate excluded pending retired/debug reachability check","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_2PMissionEndscreenFailedVMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","candidate excluded pending retired/debug reachability check","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_2PMissionEndscreenObjectivesCompletedVMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","candidate excluded pending retired/debug reachability check","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_2PMissionEndscreenObjectivesFailedVMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","candidate excluded pending retired/debug reachability check","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_AcceptMissionMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_AntiMissionDifficultyMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_AntiOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_AudioOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_BioListMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_BioProfileMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_BioTextMenuDialog","port/fast3d/pdgui_menu_training.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsBuddiesMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsConfirmUnlockMenuDialog","port/fast3d/pdgui_menu_cheats.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsFunMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsGameplayMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsSoloWeaponsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsWarningMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CheatsWeaponsMenuDialog","port/fast3d/pdgui_menu_warning.cpp; port/fast3d/pdgui_menu_cheats.cpp","2","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiControlOptionsMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiControlPlayer2MenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiControlStyleMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiControlStylePlayer2MenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiDisplayMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiDisplayPlayer2MenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiMenuViaPauseMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_CiMenuViaPcMenuDialog","port/fast3d/pdgui_menu_mainmenu.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
