node,graph_type,source,inbound_graph_edges,exit_graph_edges,graph_actions,widget_inventory,focus_order,scrolling,text_numeric_edit,glyphs,save_and_failure,controller_runtime,mkb_runtime,reachability
"main_menu","MENU_TYPE_MAIN_MENU","port/src/menugraph.c","legacy/scene push to trace","quit:PROCESS; close:POP_ROOT","solo_play:ACTION_MENU_ACCEPT:MENU_TYPE_MAIN_SOLO_VIEW; social:ACTION_MENU_ACCEPT:MENU_TYPE_SOCIAL_SHELL; public_mods:ACTION_MENU_ACCEPT:MENU_TYPE_SOCIAL_SHELL; change_agent:ACTION_MENU_ACCEPT:MENU_TYPE_AGENT_SELECT; settings:ACTION_MENU_ACCEPT:MENU_TYPE_MAIN_SETTINGS_VIEW; modding:ACTION_MENU_ACCEPT:MENU_TYPE_MAIN_MODDING_VIEW; cheats:ACTION_MENU_ACCEPT:MENU_TYPE_CHEATS; stats:ACTION_MENU_ACCEPT:MENU_TYPE_MAIN_STATS_VIEW; grid:ACTION_MENU_ACCEPT:MENU_TYPE_GRID_SUBMENU; quit:ACTION_MENU_ACCEPT; close:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","ordinary entry observed; current build pending journey"
"main_solo_view","MENU_TYPE_MAIN_SOLO_VIEW","port/src/menugraph.c","main_menu.solo_play","back:POP","solo_missions:ACTION_MENU_ACCEPT:MENU_TYPE_SOLO_MISSION; combat_simulator:ACTION_MENU_ACCEPT:MENU_TYPE_ROOM; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"main_settings_view","MENU_TYPE_MAIN_SETTINGS_VIEW","port/src/menugraph.c","main_menu.settings","back:POP","back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"ci_options","MENU_TYPE_CI_OPTIONS","port/src/menugraph.c","legacy/scene push to trace","close:POP","close:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"main_modding_view","MENU_TYPE_MAIN_MODDING_VIEW","port/src/menugraph.c","main_menu.modding","back:POP","open_hub:ACTION_MENU_ACCEPT:MENU_TYPE_MODDING_HUB; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"main_stats_view","MENU_TYPE_MAIN_STATS_VIEW","port/src/menugraph.c","main_menu.stats","back:POP","open_panel:ACTION_MENU_ACCEPT:MENU_TYPE_STATS_PANEL; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"grid_submenu","MENU_TYPE_GRID_SUBMENU","port/src/menugraph.c","main_menu.grid","enter:SCENE; back:POP","enter:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"cinema","MENU_TYPE_CINEMA","port/src/menugraph.c","legacy/scene push to trace","back:POP","back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"solo_mission","MENU_TYPE_SOLO_MISSION","port/src/menugraph.c","main_solo_view.solo_missions","start:SCENE; restart:SCENE; back:POP","start:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; restart:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; pd_mode_settings:ACTION_MENU_ACCEPT; accept_mission:ACTION_MENU_ACCEPT; coop_options:ACTION_MENU_ACCEPT; anti_options:ACTION_MENU_ACCEPT; back:ACTION_MENU_CANCEL","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
"room","MENU_TYPE_ROOM","port/src/menugraph.c","main_solo_view.combat_simulator","start_match:SCENE; leave_room:NETWORK","start_match:ACTION_MENU_ACCEPT:SCENE_EVENT_GAMEPLAY_START; team_setup:ACTION_MENU_ACCEPT:MENU_TYPE_MP_TEAM_SETUP; select_music:ACTION_MENU_ACCEPT:MENU_TYPE_MP_TUNES; leave_room:ACTION_MENU_CANCEL:""leave_room""","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","source graph candidate; runtime trace pending"
